group,name,description,specification,version,internal_set,internal,product_plan_rule,error_level,error
WiFiNetworkLoginSharing, RequestWiFiConnectionInfoRetried, This rule throws an error if an accessory retries the RequestWiFiConnectionInfo command  after it receives an iPodACK.  (The accessory is allowed to rety RequestWiFiConnectionInfo after receiving WiFiConnectionInfo.), CurrentMFiFirmwareSpecFileReference (3.3.69), 2.2, NO, NO, NO, Error, accessory must not retry the RequestWiFiConnectionInfo command after it receives an iPodACK.
WiFiNetworkLoginSharing, WiFiNetworkLoginSharingRequiredCommandsNotSeenCA, Fire an error during the WiFiNetworkLoginSharing test if a required WiFiNetworkLoginSharing command was not seen, N/A, 3.0, NO, NO, NO, Error, the required command%@ %@ for the Wi-Fi Network Login Sharing test were not seen
AccessoryIdentificationiAP2, AccessoryIdentificationRequiredMessagesNotSeenCAiAP2, Fire an error if any of the mandatory messages are not seen during the test, CurrentAISpecFileReference, 3.1, NO, NO, NO, Error, did not see required identification messages during the Automatic Tests with Apple device
AccessoryIdentificationiAP2, DuplicateTransportComponentIdentifieriAP2, Fire an error if an accessory sends an IdentificationInformation with any of SerialTransportComponent_ USBDeviceTransportComponent_ USBHostTransportComponent_ or BluetoothTransportComponent with the same TransportComponentIdentifier., CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent a duplicate TransportComponentIdentifier of %hu
AccessoryIdentificationiAP2, IdentificationInformationBeforeStartIdentificationiAP2, Fire an error if the accessory sends IdentificationInformation before receiving StartIdentification, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent IdentificationInformation before receiving StartIdentification from the Apple device
AccessoryIdentificationiAP2, IdentificationInformationIncorrectSourceForDeclaredReceivedMessageiAP2, Fire if accessory declares a message as received which only the Accessory may send, CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory declared to receive %1$@_ but only the accessory may send these messages
AccessoryIdentificationiAP2, IdentificationInformationIncorrectSourceForDeclaredSentMessageiAP2, Fire if accessory declares a message as sent which only the Apple device may send, CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory declared to send %1$@_ but only the Apple device may send these messages
AccessoryIdentificationiAP2, IdentificationInformationNonUniqueSupportedMessagesListiAP2, Fire if accessory declares support for the same message ID more than once in MessagesSentByAccessory or MessagesReceivedFromDevice, CurrentAISpecFileReference, 3.9, NO, NO, NO, Error, accessory sent IdentificationInformation with a non-unique set of message IDs in the MessagesSentByAccessory and/or MessagesReceivedFromDevice parameters (duplicated message%1$@: %2$@)
AccessoryIdentificationiAP2, IdentificationInformationUnknownSentOrReceivedMessageiAP2, Fire if accessory declares a message as sent or received which has an unknown message ID, CurrentAISpecFileReference, 3.4, NO, NO, NO, Error, accessory declared to %1$@ unknown message ID%2$@ %3$@
AccessoryIdentificationiAP2, IdentificationMessageSentAfterIdentificationAcceptediAP2, Fire an error if an accessory sends IdentificationInformation or CancelIdentification after receiving IdentificationAccepted from the Apple device., CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent %@ after already receiving IdentificationAccepted from the Apple device
AccessoryIdentificationiAP2, NoTimelyResponseToStartIdentificationOrIdentificationRejectedMessageiAP2, Fire an error if no IdentificationInformation response is seen to a StartIdentification or IdentificationRejected message within 1 second, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory did not send IdentificationInformation within 1 second of receiving %@
AccessoryIdentificationiAP2, NoTransportSupportsiAP2ConnectionParameteriAP2, Fire an error if no transport component containing a TransportSupportsiAP2Connection parameter is found, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory did not send a transport component containing TransportSupportsiAP2Connection parameter
AccessoryIdentificationiAP2, USBHostHIDComponentUSBHostTransportComponentIdentifierInvalidiAP2, Fire an error if USBHostTransportComponentIdentifier in a USBHostHIDComponent does not match previously declared identifier for a USBHostTransportComponent, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent a USBHostHIDComponent with a USBHostTransportComponentIdentifier that does not match an identifier in a declared USBHostTransportComponent
AccessoryIdentificationiAP2, UnsupportedMessageSentiAP2, Fire an error when accessory sends a message it did not declare in its MessagesSentByAccessory parameter in IdentificationInformation after IdentificationAccepted, CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent a message that the Apple device did not acknowledge during identification
AccessoryIdentificationiAP2, UnsupportedMessagesDeclaredCAiAP2, Fire an error if an accessory declares and uses messages it did not claim support for., CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent IdentificationInformation with %@
HIDiAP2, AccessoryHIDReportPaddingBitSetToOneiAP2, Fire an error if any padding bits in any AccessoryHIDReport's HIDReport parameter are set to 1., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent AccessoryHIDReport with a HIDReport parameter in which some padding bits are set to 1
HIDiAP2, AccessoryIdentifiediAP2HIDMessagesWithoutiAP2HIDComponentiAP2, Fire an error if the accessory identifies for iAP2 HID messages without iAP2 HID component., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory identified for iAP2 HID messages without including an iAP2 HID component
HIDiAP2, AssistiveTouchHIDComponentCountInvalidiAP2, Fire an error if the accessory's IdentificationInformation USBHostHIDComponents and iAP2HIDComponents contain more than one component that has the AssistiveTouch Pointer HIDComponentFunction., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent IdentificationInformation with more than one iAP2HIDComponent or USBHostHIDComponent for HID function AssistiveTouch Pointer
HIDiAP2, AssistiveTouchRequiredHIDUsagePageMissingNativeUSBiAP2, Fire an error if the accessory fails to declare support for both the HID Generic Desktop usage page and Mouse usage for an AssistiveTouch Pointer., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent an AssistiveTouch Pointer HID report descriptor without both the HID Generic Desktop usage page and the Mouse usage
HIDiAP2, AssistiveTouchRequiredHIDUsagePageMissingiAP2, Fire an error if the accessory specifies the AssistiveTouch Pointer HID component function in a StartHID's HIDComponentIdentifier but fails to declare support for the Generic Desktop usage page and Mouse usage in the StartHID's HIDReportDescriptor., CurrentAISpecFileReference, 3.2, NO, NO, NO, Error, accessory sent StartHID for an AssistiveTouch Pointer without including both the HID Generic Desktop usage page and the Mouse usage in the report descriptor
HIDiAP2, DuplicateHIDComponentIdentifieriAP2, Fire an error if a duplicate HIDComponentIdentifier is detected (across any HIDComponent type), CurrentAISpecFileReference, 3.0, NO, NO, NO, Error, accessory sent a duplicate HIDComponentIdentifier %hu
HIDiAP2, GameControllerAccessoryIdentificationExceededNumberOfNFFComponentsiAP2, Fire an error if the accessory reports more than 4 non form-fitting HID Game Controller components, CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent IdentificationInformation with %1$lu HID Components for Non Form-Fitting Gamepad HID functions_ but the maximum number is 4
HIDiAP2, GameControllerDPadOpposingCardinalDirectionsHIDSeeniAP2, Fire an error if the accessory sends an AccessoryHIDReport for a Game Controller that has opposing cardinal D-Pad buttons that have non-zero values in the same HID report, CurrentAISpecFileReference, 3.4, NO, NO, NO, Error, accessory sent %1$@ for a Gamepad with non-zero directional pad values of opposing cardinal direction
HIDiAP2, GameControllerDPadOpposingCardinalDirectionsNativeHIDSeeniAP2, Fire an error if the accessory sends a HID report for a Game Controller that has opposing cardinal D-Pad buttons that have non-zero values in the same HID report, CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent HID report for a Gamepad with non-zero directional pad values of opposing cardinal direction
HIDiAP2, GameControllerDigitalSwitchHIDInvalidiAP2, Fire an error if the accessory sends StartHID with a GameController HID report descriptor that has a digital switch controls_ but does not define the field correctly., CurrentAISpecFileReference, 3.4, NO, NO, NO, Error, accessory sent %1$@ for a Gamepad with a pause button digital switch that is not defined as a 1-bit value
HIDiAP2, GameControllerDigitalSwitchNativeHIDInvalidiAP2, Fire an error if the accessory sends HID report with a GameController HID report descriptor that has a digital switch controls_ but does not define the field correctly., CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent HID report for a Gamepad with a pause button digital switch that is not defined as a 1-bit value
HIDiAP2, GameControllerInvalidLEDArrayFieldiAP2, Fire an error if the accessory sends StartHID with a GameController HID report descriptor that has LEDs_ but they aren't defined as a linear array of four red LEDs, CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent %1$@ for a Gamepad that defined LEDs with report size %2$lu and report count %3$lu
HIDiAP2, GameControllerInvalidNativeLEDArrayFieldiAP2, Fire an error if the accessory sends HID report with a GameController HID report descriptor that has LEDs_ but they aren't defined as a linear array of four red LEDs, CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent HID report for a Gamepad that defined LEDs with report size %2$lu and report count %3$lu
HIDiAP2, GameControllerJoystickAxesHIDFieldSizeNotEqualiAP2, Fire an error if the accessory sends StartHID with a GameController HID report descriptor that has Joystick controls_ but the axes fields aren't the same., CurrentAISpecFileReference, 3.4, NO, NO, NO, Error, accessory sent %1$@ for a Gamepad with joystick axes that are not defined with equal field sizes
HIDiAP2, GameControllerJoystickAxesNativeHIDFieldSizeNotEqualiAP2, Fire an error if the accessory sends HID report with a GameController HID report descriptor that has Joystick controls_ but the axes fields aren't the same., CurrentAISpecFileReference, 3.4, NO, NO, NO, Error, accessory sent native HID report for a Gamepad with joystick axes that are not defined with equal field sizes
HIDiAP2, GameControllerJoystickHIDInvalidiAP2, Fire an error if the accessory sends StartHID with a GameController HID report descriptor that has Joystick controls_ but does not define the field correctly., CurrentAISpecFileReference, 3.4, NO, NO, NO, Error, accessory sent %1$@ for a Gamepad with a joystick axis that is not defined as supporting a range of values between -2^(n-1)+1 and 2^(n-1)-1 with a signed n-bit integer where n is 8 or more
HIDiAP2, GameControllerJoystickNativeHIDInvalidiAP2, Fire an error if the accessory sends HID report with a GameController HID report descriptor that has Joystick controls_ but does not define the field correctly., CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent HID report for a Gamepad with a joystick axis that is not defined as supporting a range of values between -2^(n-1)+1 and 2^(n-1)-1 with a signed n-bit integer where n is 8 or more
HIDiAP2, GameControllerLEDHIDInvalidiAP2, Fire an error if the accessory sends StartHID with a GameController HID report descriptor that has LEDs_ but they aren't defined correctly, CurrentAISpecFileReference, 3.4, NO, NO, NO, Error, accessory sent %1$@ for a Gamepad with LEDs that are not defined as Output fields
HIDiAP2, GameControllerLEDNativeHIDInvalidiAP2, Fire an error if the accessory sends HID report with a GameController HID report descriptor that has LEDs_ but they aren't defined correctly, CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent HID report for a Gamepad with LEDs that are not defined as Output fields
HIDiAP2, GameControllerMultipleFormFittingControllerComponentImplementationiAP2, Fire an error if the accessory reports more than 1 form-fitting HID Game Controller components, CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent IdentificationInformation with %1$lu HID Components for Form-Fitting Gamepad HID functions_ but the maximum number is 1
HIDiAP2, GameControllerPressureSensitiveSwitchHIDInvalidiAP2, Fire an error if the accessory sends StartHID with a GameController HID report descriptor that has Pressure Sensitive controls_ but they aren't defined correctly., CurrentAISpecFileReference, 3.4, NO, NO, NO, Error, accessory sent %1$@ for a Gamepad with pressure sensitive control%2$@ %3$@ that %4$@ not defined as supporting a range of values between 0 and 2^n-1 with an unsigned n-bit integer where n is 8 or more
HIDiAP2, GameControllerPressureSensitiveSwitchNativeHIDInvalidiAP2, Fire an error if the accessory sends HID report with a GameController HID report descriptor that has Pressure Sensitive controls_ but they aren't defined correctly., CurrentAISpecFileReference, 5.0, NO, NO, NO, Error, accessory sent HID report for a Gamepad with pressure sensitive control%1$@ %2$@ that %3$@ not defined as supporting a range of values between 0 and 2^n-1 with an unsigned n-bit integer where n is 8 or more
